PlateID,SampleID,Target,Well,Channel700,Channel800
GED-PLA-00000003,GED-SAM-00000234,STAT3.1,D06,6765.360352,124.6665649
GED-PLA-00000003,GED-SAM-00000235,STAT3.1,D07,12314.39453,153.5814819
GED-PLA-00000003,GED-SAM-00000236,STAT3.1,D08,4482.288574,101.1463623
GED-PLA-00000003,GED-SAM-00000237,STAT3.1,D09,7319.047852,117.678833
GED-PLA-00000003,GED-SAM-00000238,STAT3.1,D10,3310.537109,274.0175171
GED-PLA-00000003,GED-SAM-00000239,STAT3.1,D11,10008.40723,908.2268677
GED-PLA-00000003,GED-SAM-00000240,EMPTY,D12,742.769043,81.52496338
GED-PLA-00000003,GED-SAM-00000241,EMPTY,E01,817.3666992,82.17434692
GED-PLA-00000003,GED-SAM-00000242,STAT3.1,E02,4332.791992,103.2206726
GED-PLA-00000003,GED-SAM-00000243,STAT3.1,E03,3001.383301,97.47659302
GED-PLA-00000003,GED-SAM-00000244,STAT3.1,E04,2804.648926,92.98538208
GED-PLA-00000003,GED-SAM-00000245,STAT3.1,E05,1841.980957,98.04534912
GED-PLA-00000003,GED-SAM-00000246,STAT3.1,E06,1945.947266,92.2835083
GED-PLA-00000003,GED-SAM-00000247,STAT3.1,E07,1889.422852,89.89208984
GED-PLA-00000003,GED-SAM-00000248,STAT3.1,E08,1655.246094,85.50158691
GED-PLA-00000003,GED-SAM-00000249,STAT3.1,E09,2167.83252,196.8027649
GED-PLA-00000003,GED-SAM-00000250,STAT3.1,E10,2078.904785,189.9109497
GED-PLA-00000003,GED-SAM-00000251,STAT3.1,E11,4333.619141,102.8792725
GED-PLA-00000003,GED-SAM-00000252,EMPTY,E12,761.8623047,84.09719849
GED-PLA-00000003,GED-SAM-00000253,EMPTY,F01,794.4003906,83.95602417
GED-PLA-00000003,GED-SAM-00000254,STAT3.1,F02,1453.783691,89.5375061
GED-PLA-00000003,GED-SAM-00000255,STAT3.1,F03,991.9677734,102.5021973
GED-PLA-00000003,GED-SAM-00000256,STAT3.1,F04,1087.981934,83.6764679
GED-PLA-00000003,GED-SAM-00000257,STAT3.1,F05,3207.078125,99.5181427
GED-PLA-00000003,GED-SAM-00000258,STAT3.1,F06,9303.136719,863.3071289
GED-PLA-00000003,GED-SAM-00000259,STAT3.1,F07,3778.191406,99.57751465
GED-PLA-00000003,GED-SAM-00000260,STAT3.1,F08,3214.074219,102.0849304
GED-PLA-00000003,GED-SAM-00000261,STAT3.1,F09,7549.333008,128.2127686
GED-PLA-00000003,GED-SAM-00000262,STAT3.1,F10,5539.343262,111.7382813
GED-PLA-00000003,GED-SAM-00000263,STAT3.1,F11,8555.617188,740.128418
GED-PLA-00000003,GED-SAM-00000264,EMPTY,F12,770.5864258,80.77960205
GED-PLA-00000003,GED-SAM-00000265,EMPTY,G01,837.394043,82.12237549
GED-PLA-00000003,GED-SAM-00000266,STAT3.1,G02,5305.314453,126.8337097
GED-PLA-00000003,GED-SAM-00000267,STAT3.1,G03,9403.101563,140.9775391
GED-PLA-00000003,GED-SAM-00000268,STAT3.1,G04,5584.078125,115.8095093
GED-PLA-00000003,GED-SAM-00000269,STAT3.1,G05,7534.350098,128.5303955
GED-PLA-00000003,GED-SAM-00000270,STAT3.4,G06,2896.438965,158.7340088
GED-PLA-00000003,GED-SAM-00000271,STAT3.4,G07,5828.307129,311.7687988
GED-PLA-00000003,GED-SAM-00000272,STAT3.4,G08,2002.806152,99.81454468
GED-PLA-00000003,GED-SAM-00000273,STAT3.4,G09,3724.208008,359.3387146
GED-PLA-00000003,GED-SAM-00000274,STAT3.4,G10,4785.753418,230.7078857
GED-PLA-00000003,GED-SAM-00000275,STAT3.4,G11,8632.550781,125.2648621
GED-PLA-00000003,GED-SAM-00000276,EMPTY,G12,812.4306641,85.96507263
GED-PLA-00000003,GED-SAM-00000277,EMPTY,H01,1217.856934,90.90318298
GED-PLA-00000003,GED-SAM-00000278,EMPTY,H02,1190.115723,108.5020981
GED-PLA-00000003,GED-SAM-00000279,EMPTY,H03,913.2197266,87.93878174
GED-PLA-00000003,GED-SAM-00000280,EMPTY,H04,871.8886719,86.89904785
GED-PLA-00000003,GED-SAM-00000281,EMPTY,H05,867.4379883,81.76416016
GED-PLA-00000003,GED-SAM-00000282,EMPTY,H06,843.4785156,85.28244019
GED-PLA-00000003,GED-SAM-00000283,EMPTY,H07,846.8847656,85.77780151
GED-PLA-00000003,GED-SAM-00000284,EMPTY,H08,852.6547852,83.5925293
GED-PLA-00000003,GED-SAM-00000285,EMPTY,H09,840.3105469,84.08322144
GED-PLA-00000003,GED-SAM-00000286,EMPTY,H10,831.8505859,85.09165955
GED-PLA-00000003,GED-SAM-00000287,EMPTY,H11,828.2407227,83.17218018
GED-PLA-00000003,GED-SAM-00000288,CLONE3.CONTROL,H12,11811.99609,813.3535156
GED-PLA-00000004,GED-SAM-00000289,CLONE3.CONTROL,A01,10223.49707,870.3201904
GED-PLA-00000004,GED-SAM-00000290,EMPTY,A02,754.2597656,76.41607666
GED-PLA-00000004,GED-SAM-00000291,EMPTY,A03,775.6821289,81.34324646
GED-PLA-00000004,GED-SAM-00000292,EMPTY,A04,764.9477539,80.53980255
GED-PLA-00000004,GED-SAM-00000293,EMPTY,A05,748.3725586,89.37088013
GED-PLA-00000004,GED-SAM-00000294,EMPTY,A06,763.3256836,77.57669067
GED-PLA-00000004,GED-SAM-00000295,EMPTY,A07,755.2446289,72.24554443
GED-PLA-00000004,GED-SAM-00000296,EMPTY,A08,760.0922852,74.18989563
GED-PLA-00000004,GED-SAM-00000297,EMPTY,A09,767.4604492,75.16851807
GED-PLA-00000004,GED-SAM-00000298,EMPTY,A10,773.5317383,78.18701172
GED-PLA-00000004,GED-SAM-00000299,EMPTY,A11,772.1293945,80.1469574
GED-PLA-00000004,GED-SAM-00000300,EMPTY,A12,793.4355469,79.2677002
GED-PLA-00000004,GED-SAM-00000301,EMPTY,B01,756.3505859,75.77037048
GED-PLA-00000004,GED-SAM-00000302,STAT3.2,B02,3754.608887,94.97631836
GED-PLA-00000004,GED-SAM-00000303,STAT3.2,B03,1068.587891,75.70019531
GED-PLA-00000004,GED-SAM-00000304,STAT3.2,B04,2348.20166,210.4806213
GED-PLA-00000004,GED-SAM-00000305,STAT3.2,B05,6463.135254,109.7789917
GED-PLA-00000004,GED-SAM-00000306,STAT3.2,B06,5363.529297,104.498291
GED-PLA-00000004,GED-SAM-00000307,STAT3.2,B07,1649.922363,77.17822266
GED-PLA-00000004,GED-SAM-00000308,STAT3.2,B08,1187.894043,75.09732056
GED-PLA-00000004,GED-SAM-00000309,STAT3.2,B09,2039.243164,130.9778442
GED-PLA-00000004,GED-SAM-00000310,STAT3.2,B10,1193.743164,77.45562744
GED-PLA-00000004,GED-SAM-00000311,STAT3.2,B11,850.4282227,77.13409424
GED-PLA-00000004,GED-SAM-00000312,EMPTY,B12,798.7631836,77.19625854
GED-PLA-00000004,GED-SAM-00000313,EMPTY,C01,767.6357422,78.42340088
GED-PLA-00000004,GED-SAM-00000314,STAT3.2,C02,2832.680176,99.64239502
GED-PLA-00000004,GED-SAM-00000315,STAT3.2,C03,4431.65625,259.4978027
GED-PLA-00000004,GED-SAM-00000316,STAT3.2,C04,1903.642578,88.40808105
GED-PLA-00000004,GED-SAM-00000317,STAT3.2,C05,3264.455566,99.46270752
